time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count
1685854892,20230604,21879459434,3946426492852,17%,4730093050068,438,137,normal,70,25
1685858089,20230604,21879459434,3073724783200,17%,3684093511225,412,158,normal,49,29
1685858792,20230604,21879459434,3128722168854,17%,3750012071249,365,144,normal,89,67
1685860292,20230604,21879459434,3735743731099,17%,4477573696435,391,132,normal,76,29
1685862157,20230604,21879459434,3044127903065,17%,3648619393745,429,142,normal,80,67
1685863870,20230604,21879459434,3191383380621,17%,3825116311206,416,120,normal,87,25
1685866011,20230604,21879459434,3507002923338,17%,4203410397811,460,137,normal,53,59
1685867490,20230604,21879459434,3284051584713,17%,3936186219369,370,159,normal,90,62
1685869613,20230604,21879459434,3731931656763,17%,4473004634689,350,143,normal,67,15
1685871090,20230604,21879459434,3688594880980,17%,4421062204666,412,142,normal,64,57
1685872980,20230604,21879459434,3668334201979,5%,3859562937718,5,150,normal,73,10
